"Border,Date,Measure,Value,Average"
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,346158,191710
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,6483,0
US-Canada Border,03/01/2019 12:00:00 AM,Trains,19,2607
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,172163,114486
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,1319,3901
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,56810,0
