Border,Date,Measure,Value,Average
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,847,1033
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14080661
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6541549
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3692312
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5546261
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2649767
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,397329
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410402,510535
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,251540
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277156,382231
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,108489
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,244847
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141070
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136331,87465
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90253,268867
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44053
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31251
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,27899
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20670,46836
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19607
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12756,21212
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4056,11074
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1939,2434
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,719
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1034
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,11389748,14090482
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,6083730,6543219
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3959951,3691335
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,5553644
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,2652381
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,535417,396825
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476004,510661
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,390148,251034
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358824,382316
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,108288
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,150973,141034
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,150920,245189
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,126259,87323
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105505,269464
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59089,43998
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,54868,31165
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,41616,27848
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21251,46930
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,13325,19630
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11678,21247
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4749,11097
