Border,Date,Measure,Value,Average
US-Mexico Border,10/01/2016 12:00:00 AM,Truck Containers Full,343283,238861
US-Canada Border,10/01/2016 12:00:00 AM,Bus Passengers,173425,281027
US-Mexico Border,10/01/2016 12:00:00 AM,Truck Containers Empty,154583,139498
US-Mexico Border,10/01/2016 12:00:00 AM,Bus Passengers,139534,254945
US-Canada Border,10/01/2016 12:00:00 AM,Rail Containers Full,133695,104645
US-Canada Border,10/01/2016 12:00:00 AM,Truck Containers Empty,95088,82349
US-Canada Border,10/01/2016 12:00:00 AM,Pedestrians,55915,47716
US-Canada Border,10/01/2016 12:00:00 AM,Rail Containers Empty,55523,42116
US-Mexico Border,10/01/2016 12:00:00 AM,Rail Containers Full,45139,26454
US-Mexico Border,10/01/2016 12:00:00 AM,Rail Containers Empty,43303,29669
US-Canada Border,10/01/2016 12:00:00 AM,Train Passengers,16457,21009
US-Mexico Border,10/01/2016 12:00:00 AM,Buses,13835,20188
US-Canada Border,10/01/2016 12:00:00 AM,Buses,7080,11538
US-Canada Border,10/01/2016 12:00:00 AM,Trains,2573,2486
US-Mexico Border,10/01/2016 12:00:00 AM,Trains,905,697
US-Mexico Border,10/01/2016 12:00:00 AM,Train Passengers,901,1048
US-Mexico Border,09/01/2016 12:00:00 AM,Personal Vehicle Passengers,11100972,14310323
US-Mexico Border,09/01/2016 12:00:00 AM,Personal Vehicles,6118348,6556380
US-Canada Border,09/01/2016 12:00:00 AM,Personal Vehicle Passengers,4511235,5692420
US-Mexico Border,09/01/2016 12:00:00 AM,Pedestrians,3511631,3694736
US-Canada Border,09/01/2016 12:00:00 AM,Personal Vehicles,2504409,2694230
US-Canada Border,09/01/2016 12:00:00 AM,Trucks,496819,512966
US-Mexico Border,09/01/2016 12:00:00 AM,Trucks,481245,384838
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Full,404471,383024
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Full,332088,238485
US-Canada Border,09/01/2016 12:00:00 AM,Bus Passengers,201217,281349
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Empty,144033,139479
US-Mexico Border,09/01/2016 12:00:00 AM,Bus Passengers,136792,255422
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Full,127837,104552
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Empty,97242,82289
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Empty,52410,42075
US-Canada Border,09/01/2016 12:00:00 AM,Pedestrians,50698,47704
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Full,44234,26382
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Empty,43450,29613
US-Canada Border,09/01/2016 12:00:00 AM,Train Passengers,29327,20976
US-Mexico Border,09/01/2016 12:00:00 AM,Buses,12185,20220
US-Canada Border,09/01/2016 12:00:00 AM,Buses,8134,11551
US-Canada Border,09/01/2016 12:00:00 AM,Trains,2461,2486
US-Mexico Border,09/01/2016 12:00:00 AM,Train Passengers,1587,1046
US-Mexico Border,09/01/2016 12:00:00 AM,Trains,889,696
US-Mexico Border,08/01/2016 12:00:00 AM,Personal Vehicle Passengers,11934276,14319943
US-Mexico Border,08/01/2016 12:00:00 AM,Personal Vehicles,6340847,6557252
US-Canada Border,08/01/2016 12:00:00 AM,Personal Vehicle Passengers,6060320,5690931
US-Mexico Border,08/01/2016 12:00:00 AM,Pedestrians,3482590,3695595
US-Canada Border,08/01/2016 12:00:00 AM,Personal Vehicles,3006638,2692965
US-Canada Border,08/01/2016 12:00:00 AM,Trucks,522253,512929
US-Mexico Border,08/01/2016 12:00:00 AM,Trucks,504059,384355
US-Canada Border,08/01/2016 12:00:00 AM,Truck Containers Full,428453,382840
US-Mexico Border,08/01/2016 12:00:00 AM,Truck Containers Full,343256,238061
US-Mexico Border,08/01/2016 12:00:00 AM,Bus Passengers,239797,255485
US-Canada Border,08/01/2016 12:00:00 AM,Bus Passengers,237871,281525
US-Mexico Border,08/01/2016 12:00:00 AM,Truck Containers Empty,149194,139440
US-Canada Border,08/01/2016 12:00:00 AM,Rail Containers Full,136401,104423
US-Canada Border,08/01/2016 12:00:00 AM,Truck Containers Empty,108995,82181
US-Canada Border,08/01/2016 12:00:00 AM,Pedestrians,73290,47601
US-Canada Border,08/01/2016 12:00:00 AM,Rail Containers Empty,57319,42013
US-Canada Border,08/01/2016 12:00:00 AM,Train Passengers,46816,20871
US-Mexico Border,08/01/2016 12:00:00 AM,Rail Containers Empty,41961,29563
US-Mexico Border,08/01/2016 12:00:00 AM,Rail Containers Full,41774,26320
US-Mexico Border,08/01/2016 12:00:00 AM,Buses,15197,20241
US-Canada Border,08/01/2016 12:00:00 AM,Buses,9764,11559
US-Canada Border,08/01/2016 12:00:00 AM,Trains,2553,2485
US-Mexico Border,08/01/2016 12:00:00 AM,Train Passengers,1697,1043
US-Mexico Border,08/01/2016 12:00:00 AM,Trains,868,695
US-Mexico Border,07/01/2016 12:00:00 AM,Personal Vehicle Passengers,12465952,14327479
US-Mexico Border,07/01/2016 12:00:00 AM,Personal Vehicles,6358200,6558061
US-Canada Border,07/01/2016 12:00:00 AM,Personal Vehicle Passengers,6280015,5688536
US-Mexico Border,07/01/2016 12:00:00 AM,Pedestrians,3454600,3696575
US-Canada Border,07/01/2016 12:00:00 AM,Personal Vehicles,3061644,2691466
US-Canada Border,07/01/2016 12:00:00 AM,Trucks,452369,513175
US-Mexico Border,07/01/2016 12:00:00 AM,Trucks,439231,384132
US-Canada Border,07/01/2016 12:00:00 AM,Truck Containers Full,338147,383022
US-Mexico Border,07/01/2016 12:00:00 AM,Truck Containers Full,313089,237756
US-Mexico Border,07/01/2016 12:00:00 AM,Bus Passengers,264003,255450
US-Canada Border,07/01/2016 12:00:00 AM,Bus Passengers,245054,281673
US-Mexico Border,07/01/2016 12:00:00 AM,Truck Containers Empty,133566,139464
US-Canada Border,07/01/2016 12:00:00 AM,Rail Containers Full,122130,104351
US-Canada Border,07/01/2016 12:00:00 AM,Truck Containers Empty,82347,82180
US-Canada Border,07/01/2016 12:00:00 AM,Pedestrians,79514,47471
US-Canada Border,07/01/2016 12:00:00 AM,Rail Containers Empty,49013,41985
US-Canada Border,07/01/2016 12:00:00 AM,Train Passengers,46347,20768
US-Mexico Border,07/01/2016 12:00:00 AM,Rail Containers Full,42779,26253
US-Mexico Border,07/01/2016 12:00:00 AM,Rail Containers Empty,42067,29513
US-Mexico Border,07/01/2016 12:00:00 AM,Buses,15391,20260
US-Canada Border,07/01/2016 12:00:00 AM,Buses,10448,11563
US-Canada Border,07/01/2016 12:00:00 AM,Trains,2270,2486
US-Mexico Border,07/01/2016 12:00:00 AM,Train Passengers,1693,1041
US-Mexico Border,07/01/2016 12:00:00 AM,Trains,876,695
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,11315489,14339773
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicles,6158935,6559690
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,4582280,5693051
US-Mexico Border,06/01/2016 12:00:00 AM,Pedestrians,3264963,3698337
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicles,2542448,2692074
US-Canada Border,06/01/2016 12:00:00 AM,Trucks,516596,513161
US-Mexico Border,06/01/2016 12:00:00 AM,Trucks,496423,383674
US-Canada Border,06/01/2016 12:00:00 AM,Truck Containers Full,394539,382975
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Full,352449,237288
US-Canada Border,06/01/2016 12:00:00 AM,Bus Passengers,218391,281931
US-Mexico Border,06/01/2016 12:00:00 AM,Bus Passengers,182129,255750
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Empty,142749,139450
US-Canada Border,06/01/2016 12:00:00 AM,Rail Containers Full,116621,104301
US-Canada Border,06/01/2016 12:00:00 AM,Truck Containers Empty,98246,82114
US-Canada Border,06/01/2016 12:00:00 AM,Pedestrians,53116,47448
US-Canada Border,06/01/2016 12:00:00 AM,Rail Containers Empty,48600,41958
US-Mexico Border,06/01/2016 12:00:00 AM,Rail Containers Full,43394,26183
US-Canada Border,06/01/2016 12:00:00 AM,Train Passengers,39218,20692
US-Mexico Border,06/01/2016 12:00:00 AM,Rail Containers Empty,37247,29481
US-Mexico Border,06/01/2016 12:00:00 AM,Buses,14695,20283
US-Canada Border,06/01/2016 12:00:00 AM,Buses,10266,11568
US-Canada Border,06/01/2016 12:00:00 AM,Trains,2276,2487
US-Mexico Border,06/01/2016 12:00:00 AM,Train Passengers,1706,1038
US-Mexico Border,06/01/2016 12:00:00 AM,Trains,851,694
US-Mexico Border,05/01/2016 12:00:00 AM,Personal Vehicle Passengers,11950344,14349566
US-Mexico Border,05/01/2016 12:00:00 AM,Personal Vehicles,6490297,6559975
US-Canada Border,05/01/2016 12:00:00 AM,Personal Vehicle Passengers,4179571,5699254
US-Mexico Border,05/01/2016 12:00:00 AM,Pedestrians,3583968,3698805
US-Canada Border,05/01/2016 12:00:00 AM,Personal Vehicles,2334818,2693539
US-Canada Border,05/01/2016 12:00:00 AM,Trucks,506775,513187
US-Mexico Border,05/01/2016 12:00:00 AM,Trucks,501367,383191
US-Canada Border,05/01/2016 12:00:00 AM,Truck Containers Full,423083,382810
US-Mexico Border,05/01/2016 12:00:00 AM,Truck Containers Full,362521,236774
US-Canada Border,05/01/2016 12:00:00 AM,Bus Passengers,211596,282220
US-Mexico Border,05/01/2016 12:00:00 AM,Bus Passengers,202481,255968
US-Mexico Border,05/01/2016 12:00:00 AM,Truck Containers Empty,137923,139457
US-Canada Border,05/01/2016 12:00:00 AM,Rail Containers Full,129560,104197
US-Canada Border,05/01/2016 12:00:00 AM,Truck Containers Empty,108830,82005
US-Canada Border,05/01/2016 12:00:00 AM,Rail Containers Empty,58135,41891
US-Mexico Border,05/01/2016 12:00:00 AM,Rail Containers Full,45037,26106
US-Canada Border,05/01/2016 12:00:00 AM,Pedestrians,40177,47478
US-Mexico Border,05/01/2016 12:00:00 AM,Rail Containers Empty,39822,29439
US-Canada Border,05/01/2016 12:00:00 AM,Train Passengers,27493,20665
US-Mexico Border,05/01/2016 12:00:00 AM,Buses,15335,20303
US-Canada Border,05/01/2016 12:00:00 AM,Buses,9323,11578
US-Canada Border,05/01/2016 12:00:00 AM,Trains,2446,2487
US-Mexico Border,05/01/2016 12:00:00 AM,Train Passengers,1063,1038
US-Mexico Border,05/01/2016 12:00:00 AM,Trains,894,693
US-Mexico Border,04/01/2016 12:00:00 AM,Personal Vehicle Passengers,11416268,14361637
US-Mexico Border,04/01/2016 12:00:00 AM,Personal Vehicles,6308660,6561009
US-Canada Border,04/01/2016 12:00:00 AM,Personal Vehicle Passengers,3468183,5708436
US-Mexico Border,04/01/2016 12:00:00 AM,Pedestrians,3372636,3700148
US-Canada Border,04/01/2016 12:00:00 AM,Personal Vehicles,2012348,2696342
US-Mexico Border,04/01/2016 12:00:00 AM,Trucks,506557,382684
US-Canada Border,04/01/2016 12:00:00 AM,Trucks,489718,513284
US-Canada Border,04/01/2016 12:00:00 AM,Truck Containers Full,406150,382714
US-Mexico Border,04/01/2016 12:00:00 AM,Truck Containers Full,370986,236222
US-Mexico Border,04/01/2016 12:00:00 AM,Bus Passengers,204185,256181
US-Mexico Border,04/01/2016 12:00:00 AM,Truck Containers Empty,143066,139442
US-Canada Border,04/01/2016 12:00:00 AM,Bus Passengers,132435,282836
US-Canada Border,04/01/2016 12:00:00 AM,Rail Containers Full,132283,104081
US-Canada Border,04/01/2016 12:00:00 AM,Truck Containers Empty,101054,81926
US-Canada Border,04/01/2016 12:00:00 AM,Rail Containers Empty,54019,41842
US-Mexico Border,04/01/2016 12:00:00 AM,Rail Containers Full,41915,26040
US-Mexico Border,04/01/2016 12:00:00 AM,Rail Containers Empty,40406,29394
US-Canada Border,04/01/2016 12:00:00 AM,Pedestrians,27076,47562
US-Mexico Border,04/01/2016 12:00:00 AM,Buses,15690,20322
US-Canada Border,04/01/2016 12:00:00 AM,Train Passengers,13928,20692
US-Canada Border,04/01/2016 12:00:00 AM,Buses,6373,11599
US-Canada Border,04/01/2016 12:00:00 AM,Trains,2390,2488
US-Mexico Border,04/01/2016 12:00:00 AM,Train Passengers,1082,1038
US-Mexico Border,04/01/2016 12:00:00 AM,Trains,873,693
US-Mexico Border,03/01/2016 12:00:00 AM,Personal Vehicle Passengers,12074364,14371088
US-Mexico Border,03/01/2016 12:00:00 AM,Personal Vehicles,6493059,6561290
US-Mexico Border,03/01/2016 12:00:00 AM,Pedestrians,3668849,3700277
US-Canada Border,03/01/2016 12:00:00 AM,Personal Vehicle Passengers,3547553,5717365
US-Canada Border,03/01/2016 12:00:00 AM,Personal Vehicles,1984033,2699285
US-Canada Border,03/01/2016 12:00:00 AM,Trucks,515424,513275
US-Mexico Border,03/01/2016 12:00:00 AM,Trucks,498711,382204
US-Canada Border,03/01/2016 12:00:00 AM,Truck Containers Full,420587,382558
US-Mexico Border,03/01/2016 12:00:00 AM,Truck Containers Full,349548,235754
US-Mexico Border,03/01/2016 12:00:00 AM,Bus Passengers,222615,256320
US-Canada Border,03/01/2016 12:00:00 AM,Rail Containers Full,136585,103947
US-Mexico Border,03/01/2016 12:00:00 AM,Truck Containers Empty,129812,139482
US-Canada Border,03/01/2016 12:00:00 AM,Bus Passengers,109061,283554
US-Canada Border,03/01/2016 12:00:00 AM,Truck Containers Empty,103214,81838
US-Canada Border,03/01/2016 12:00:00 AM,Rail Containers Empty,54374,41790
US-Mexico Border,03/01/2016 12:00:00 AM,Rail Containers Full,42017,25974
US-Mexico Border,03/01/2016 12:00:00 AM,Rail Containers Empty,41706,29343
US-Canada Border,03/01/2016 12:00:00 AM,Pedestrians,19490,47678
US-Mexico Border,03/01/2016 12:00:00 AM,Buses,16342,20339
US-Canada Border,03/01/2016 12:00:00 AM,Train Passengers,15062,20716
US-Canada Border,03/01/2016 12:00:00 AM,Buses,5587,11624
US-Canada Border,03/01/2016 12:00:00 AM,Trains,2447,2488
US-Mexico Border,03/01/2016 12:00:00 AM,Train Passengers,1052,1038
US-Mexico Border,03/01/2016 12:00:00 AM,Trains,862,692
US-Mexico Border,02/01/2016 12:00:00 AM,Personal Vehicle Passengers,10714957,14386259
US-Mexico Border,02/01/2016 12:00:00 AM,Personal Vehicles,5926084,6563926
US-Mexico Border,02/01/2016 12:00:00 AM,Pedestrians,3361237,3701684
US-Canada Border,02/01/2016 12:00:00 AM,Personal Vehicle Passengers,2814649,5729409
US-Canada Border,02/01/2016 12:00:00 AM,Personal Vehicles,1664473,2703579
US-Canada Border,02/01/2016 12:00:00 AM,Trucks,475175,513433
US-Mexico Border,02/01/2016 12:00:00 AM,Trucks,468416,381847
US-Canada Border,02/01/2016 12:00:00 AM,Truck Containers Full,400751,382482
US-Mexico Border,02/01/2016 12:00:00 AM,Truck Containers Full,330901,235359
US-Mexico Border,02/01/2016 12:00:00 AM,Bus Passengers,149311,256764
US-Mexico Border,02/01/2016 12:00:00 AM,Truck Containers Empty,133565,139506
US-Canada Border,02/01/2016 12:00:00 AM,Rail Containers Full,131342,103833
US-Canada Border,02/01/2016 12:00:00 AM,Truck Containers Empty,99314,81766
US-Canada Border,02/01/2016 12:00:00 AM,Bus Passengers,96951,284329
US-Canada Border,02/01/2016 12:00:00 AM,Rail Containers Empty,50203,41755
US-Mexico Border,02/01/2016 12:00:00 AM,Rail Containers Full,41405,25910
US-Mexico Border,02/01/2016 12:00:00 AM,Rail Containers Empty,37174,29310
US-Mexico Border,02/01/2016 12:00:00 AM,Buses,13634,20366
US-Canada Border,02/01/2016 12:00:00 AM,Pedestrians,12084,47825
US-Canada Border,02/01/2016 12:00:00 AM,Train Passengers,11792,20753
US-Canada Border,02/01/2016 12:00:00 AM,Buses,5107,11651
US-Canada Border,02/01/2016 12:00:00 AM,Trains,2307,2489
US-Mexico Border,02/01/2016 12:00:00 AM,Train Passengers,916,1038
US-Mexico Border,02/01/2016 12:00:00 AM,Trains,831,691
US-Mexico Border,01/01/2016 12:00:00 AM,Personal Vehicle Passengers,11736173,14397301
US-Mexico Border,01/01/2016 12:00:00 AM,Personal Vehicles,6231676,6565310
US-Mexico Border,01/01/2016 12:00:00 AM,Pedestrians,3338428,3703197
US-Canada Border,01/01/2016 12:00:00 AM,Personal Vehicle Passengers,3102963,5740353
US-Canada Border,01/01/2016 12:00:00 AM,Personal Vehicles,1827800,2707228
US-Canada Border,01/01/2016 12:00:00 AM,Trucks,469224,513617
US-Mexico Border,01/01/2016 12:00:00 AM,Trucks,443705,381589
US-Canada Border,01/01/2016 12:00:00 AM,Truck Containers Full,399897,382410
US-Mexico Border,01/01/2016 12:00:00 AM,Truck Containers Full,314384,235030
US-Mexico Border,01/01/2016 12:00:00 AM,Bus Passengers,223408,256903
US-Canada Border,01/01/2016 12:00:00 AM,Rail Containers Full,135861,103700
US-Mexico Border,01/01/2016 12:00:00 AM,Truck Containers Empty,126130,139562
US-Canada Border,01/01/2016 12:00:00 AM,Truck Containers Empty,100644,81687
US-Canada Border,01/01/2016 12:00:00 AM,Bus Passengers,91758,285131
US-Canada Border,01/01/2016 12:00:00 AM,Rail Containers Empty,50548,41718
US-Mexico Border,01/01/2016 12:00:00 AM,Rail Containers Full,38817,25857
US-Mexico Border,01/01/2016 12:00:00 AM,Rail Containers Empty,38783,29271
US-Mexico Border,01/01/2016 12:00:00 AM,Buses,16282,20383
US-Canada Border,01/01/2016 12:00:00 AM,Pedestrians,14394,47965
US-Canada Border,01/01/2016 12:00:00 AM,Train Passengers,12475,20787
US-Canada Border,01/01/2016 12:00:00 AM,Buses,5114,11678
US-Canada Border,01/01/2016 12:00:00 AM,Trains,2365,2489
US-Mexico Border,01/01/2016 12:00:00 AM,Train Passengers,918,1039
US-Mexico Border,01/01/2016 12:00:00 AM,Trains,836,691
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,14404557
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,6565357
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,3702765
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,5748665
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,2709972
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,442998,513913
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,381345
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321566,382664
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,234747
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,257045
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,139586
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,103594
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,285864
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81851,81687
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,41684
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,25800
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,29229
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,18961,20389
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18595,48088
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,13983,20816
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5194,11705
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2095,2491
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,1039
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,690
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,11630109,14416214
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicles,6255819,6566658
US-Mexico Border,11/01/2015 12:00:00 AM,Pedestrians,3551959,3703399
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,3549922,5757903
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicles,2055439,2712722
US-Canada Border,11/01/2015 12:00:00 AM,Trucks,486508,514028
US-Mexico Border,11/01/2015 12:00:00 AM,Trucks,449882,381057
US-Canada Border,11/01/2015 12:00:00 AM,Truck Containers Full,383278,382662
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Full,315596,234408
US-Mexico Border,11/01/2015 12:00:00 AM,Bus Passengers,185505,257346
US-Canada Border,11/01/2015 12:00:00 AM,Rail Containers Full,130876,103479
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Empty,130106,139626
US-Canada Border,11/01/2015 12:00:00 AM,Bus Passengers,115394,286580
US-Canada Border,11/01/2015 12:00:00 AM,Truck Containers Empty,93348,81638
US-Canada Border,11/01/2015 12:00:00 AM,Rail Containers Empty,54134,41632
US-Mexico Border,11/01/2015 12:00:00 AM,Rail Containers Empty,40707,29181
US-Mexico Border,11/01/2015 12:00:00 AM,Rail Containers Full,38283,25748
US-Canada Border,11/01/2015 12:00:00 AM,Pedestrians,19462,48208
US-Mexico Border,11/01/2015 12:00:00 AM,Buses,17118,20403
US-Canada Border,11/01/2015 12:00:00 AM,Train Passengers,12195,20852
US-Canada Border,11/01/2015 12:00:00 AM,Buses,5428,11732
US-Canada Border,11/01/2015 12:00:00 AM,Trains,2325,2491
US-Mexico Border,11/01/2015 12:00:00 AM,Trains,837,689
US-Mexico Border,11/01/2015 12:00:00 AM,Train Passengers,281,1042
US-Mexico Border,10/01/2015 12:00:00 AM,Personal Vehicle Passengers,11470520,14428643
US-Mexico Border,10/01/2015 12:00:00 AM,Personal Vehicles,6354383,6567553
US-Canada Border,10/01/2015 12:00:00 AM,Personal Vehicle Passengers,4026249,5765210
US-Mexico Border,10/01/2015 12:00:00 AM,Pedestrians,3660897,3703578
US-Canada Border,10/01/2015 12:00:00 AM,Personal Vehicles,2326048,2714353
US-Canada Border,10/01/2015 12:00:00 AM,Trucks,508589,514051
US-Mexico Border,10/01/2015 12:00:00 AM,Trucks,488679,380603
US-Canada Border,10/01/2015 12:00:00 AM,Truck Containers Full,385405,382650
US-Mexico Border,10/01/2015 12:00:00 AM,Truck Containers Full,345457,233939
US-Mexico Border,10/01/2015 12:00:00 AM,Bus Passengers,188788,257635
US-Canada Border,10/01/2015 12:00:00 AM,Bus Passengers,176308,287046
US-Canada Border,10/01/2015 12:00:00 AM,Rail Containers Full,140984,103321
US-Mexico Border,10/01/2015 12:00:00 AM,Truck Containers Empty,139840,139625
US-Canada Border,10/01/2015 12:00:00 AM,Truck Containers Empty,95870,81578
US-Canada Border,10/01/2015 12:00:00 AM,Rail Containers Empty,60353,41553
US-Canada Border,10/01/2015 12:00:00 AM,Pedestrians,51607,48194
US-Mexico Border,10/01/2015 12:00:00 AM,Rail Containers Full,42959,25675
US-Mexico Border,10/01/2015 12:00:00 AM,Rail Containers Empty,40463,29133
US-Mexico Border,10/01/2015 12:00:00 AM,Buses,17137,20417
US-Canada Border,10/01/2015 12:00:00 AM,Train Passengers,16356,20871
US-Canada Border,10/01/2015 12:00:00 AM,Buses,7673,11749
US-Canada Border,10/01/2015 12:00:00 AM,Trains,2625,2491
US-Mexico Border,10/01/2015 12:00:00 AM,Trains,858,689
US-Mexico Border,10/01/2015 12:00:00 AM,Train Passengers,322,1045
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,10860037,14443765
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicles,6035984,6569806
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,4363739,5771148
US-Mexico Border,09/01/2015 12:00:00 AM,Pedestrians,3139366,3705969
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicles,2494332,2715286
US-Canada Border,09/01/2015 12:00:00 AM,Trucks,499651,514112
US-Mexico Border,09/01/2015 12:00:00 AM,Trucks,455664,380285
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Full,410341,382533
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Full,321472,233568
US-Canada Border,09/01/2015 12:00:00 AM,Bus Passengers,218723,287335
US-Mexico Border,09/01/2015 12:00:00 AM,Bus Passengers,173903,257990
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Empty,134511,139647
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Full,130992,103204
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Empty,104664,81480
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Empty,56083,41492
US-Canada Border,09/01/2015 12:00:00 AM,Pedestrians,45913,48203
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Full,40426,25613
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Empty,36013,29104
US-Canada Border,09/01/2015 12:00:00 AM,Train Passengers,31906,20824
US-Mexico Border,09/01/2015 12:00:00 AM,Buses,15430,20438
US-Canada Border,09/01/2015 12:00:00 AM,Buses,9319,11759
US-Canada Border,09/01/2015 12:00:00 AM,Trains,2446,2491
US-Mexico Border,09/01/2015 12:00:00 AM,Train Passengers,1058,1045
US-Mexico Border,09/01/2015 12:00:00 AM,Trains,829,688
US-Mexico Border,08/01/2015 12:00:00 AM,Personal Vehicle Passengers,11822253,14454920
US-Mexico Border,08/01/2015 12:00:00 AM,Personal Vehicles,6245226,6571187
US-Canada Border,08/01/2015 12:00:00 AM,Personal Vehicle Passengers,6242965,5769141
US-Mexico Border,08/01/2015 12:00:00 AM,Pedestrians,3370632,3707396
US-Canada Border,08/01/2015 12:00:00 AM,Personal Vehicles,3096150,2713665
US-Canada Border,08/01/2015 12:00:00 AM,Trucks,480207,514256
US-Mexico Border,08/01/2015 12:00:00 AM,Trucks,433282,380059
US-Canada Border,08/01/2015 12:00:00 AM,Truck Containers Full,394824,382480
US-Mexico Border,08/01/2015 12:00:00 AM,Truck Containers Full,310971,233239
US-Mexico Border,08/01/2015 12:00:00 AM,Bus Passengers,252828,258012
US-Canada Border,08/01/2015 12:00:00 AM,Bus Passengers,249249,287497
US-Mexico Border,08/01/2015 12:00:00 AM,Truck Containers Empty,144469,139626
US-Canada Border,08/01/2015 12:00:00 AM,Rail Containers Full,135950,103064
US-Canada Border,08/01/2015 12:00:00 AM,Truck Containers Empty,108206,81366
US-Canada Border,08/01/2015 12:00:00 AM,Pedestrians,75621,48087
US-Canada Border,08/01/2015 12:00:00 AM,Rail Containers Empty,63845,41396
US-Canada Border,08/01/2015 12:00:00 AM,Train Passengers,44453,20723
US-Mexico Border,08/01/2015 12:00:00 AM,Rail Containers Full,42948,25539
US-Mexico Border,08/01/2015 12:00:00 AM,Rail Containers Empty,36920,29071
US-Mexico Border,08/01/2015 12:00:00 AM,Buses,18075,20448
US-Canada Border,08/01/2015 12:00:00 AM,Buses,10774,11763
US-Canada Border,08/01/2015 12:00:00 AM,Trains,2521,2491
US-Mexico Border,08/01/2015 12:00:00 AM,Train Passengers,1078,1045
US-Mexico Border,08/01/2015 12:00:00 AM,Trains,866,687
US-Mexico Border,07/01/2015 12:00:00 AM,Personal Vehicle Passengers,11936585,14465682
US-Canada Border,07/01/2015 12:00:00 AM,Personal Vehicle Passengers,6406540,5766417
US-Mexico Border,07/01/2015 12:00:00 AM,Personal Vehicles,6238977,6572607
US-Mexico Border,07/01/2015 12:00:00 AM,Pedestrians,3512708,3708228
US-Canada Border,07/01/2015 12:00:00 AM,Personal Vehicles,3161149,2711753
US-Canada Border,07/01/2015 12:00:00 AM,Trucks,476585,514417
US-Mexico Border,07/01/2015 12:00:00 AM,Trucks,470243,379674
US-Canada Border,07/01/2015 12:00:00 AM,Truck Containers Full,380665,382488
US-Mexico Border,07/01/2015 12:00:00 AM,Truck Containers Full,329651,232827
